name calories fiber suagrs rating
All-Bran 70 9 5 59.42
Almond-Delight 110 1 8 34.38
Apple-Cinnamon-Cheerios 110 1 10 29.51
Apple-Jacks 110 1 14 33.17
Basic-4 130 2 8 37.04
Bran-Chex 90 4 6 49.12
Bran-Flakes 90 5 5 53.31
Cheerios 110 2 1 50.76
Cinnamon-Toast-Crunch 120 0 9 19.82
Cream-of-Wheat 100 1 0 64.53
Double-Chex 100 1 5 44.33
Froot-Loops 110 1 13 32.21
Golden-Crisp 100 0 15 35.25
Golden-Grahams 110 0 9 23.80
Honey-Graham-Ohs 120 1 11 21.87
Honey-Nut-Cheerios 110 2 10 31.07
Honey-comb 110 0 11 28.74
Kix 110 0 3 39.24
Life 100 2 6 45.33
Lucky-Charms 110 0 12 26.73
Muesli-Raisins 150 3 11 37.14
Multi-Grain-Cheerios 100 2 6 40.11
Oatmeal-Raisin-Crisp 130 2 10 30.45
Puffed-Rice 50 0 0 60.76
Puffed-Wheat 50 1 0 63.01
Quaker-Oatmeal 100 3 -1 50.83
Special-K 110 1 3 53.13
Trix 110 0 12 27.75
Wheaties 100 3 3 51.59
